model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
Decision Tree,0.7696629213483146,0.6901408450704225,0.7205882352941176,0.7050359712230215,0.754144385026738
Random Forest,0.8202247191011236,0.78125,0.7352941176470589,0.7575757575757576,0.8179144385026736
Random Forest - Balanced,0.8146067415730337,0.7692307692307693,0.7352941176470589,0.7518796992481203,0.8175802139037434
Tuned Random Forest,0.797752808988764,0.7857142857142857,0.6470588235294118,0.7096774193548387,0.8231283422459893
