mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.608749485015869,0.19726360141357896,0.4161864757537842,0.09211253543908521,,10,5,200,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8571280991735537,0.8176593521421108,0.8936237373737373,0.8964646464646463,0.8964646464646463,0.8722680963237389,0.031107375128420538,1
1.416607141494751,0.09109379741045995,0.15246238708496093,0.017048759983342692,,,5,100,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8518595041322314,0.8134796238244515,0.8878367003367004,0.8986742424242423,0.9051978114478114,0.8714095764330875,0.03433057521502258,2
3.08319993019104,0.20920321634319344,0.2832962989807129,0.04285911474622895,,,5,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8540289256198347,0.8142110762800419,0.8894149831649831,0.8929924242424242,0.9051978114478114,0.8711690441510191,0.03318169670197352,3
2.79342098236084,0.07849945777373585,0.2386563777923584,0.04629237582382902,balanced,10,5,200,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8585743801652891,0.8115987460815047,0.8871001683501684,0.8985690235690235,0.8990951178451178,0.8709874872022206,0.03314062866241362,4
1.4000231266021728,0.07853041876673196,0.16764512062072753,0.01567752469808454,balanced,10,5,100,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8567148760330577,0.8129571577847441,0.8835227272727273,0.9019360269360269,0.8978324915824915,0.8705926559218093,0.032881744840090175,5
1.716050672531128,0.20996449973511688,0.28224992752075195,0.10817841855526608,,10,5,100,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8529958677685949,0.8195402298850574,0.8862584175084175,0.8975168350168351,0.8955176767676769,0.8703658053893164,0.03002440348091225,6
2.7348060131073,0.2671963052712775,0.28919272422790526,0.054433446328549545,balanced,5,2,200,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8778925619834711,0.8262277951933125,0.8780513468013469,0.8826809764309764,0.8838383838383836,0.8697382128494983,0.02188647071392585,7
2.9365643501281737,0.27285683052712867,0.26707963943481444,0.031104345109110323,balanced,,5,200,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8536157024793389,0.812330198537095,0.8866792929292929,0.8927819865319865,0.9028829966329965,0.8696580354221422,0.0330822481028249,8
3.0796359062194822,0.13838489274202073,0.31717400550842284,0.034559379557313565,,10,2,200,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8565082644628099,0.8119122257053291,0.886679292929293,0.899621212121212,0.8933080808080807,0.869605815205345,0.03241703624071592,9
1.5356054306030273,0.15630793500139661,0.17216367721557618,0.01854600701936915,balanced,5,5,100,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8711776859504132,0.8335423197492162,0.8761574074074073,0.8826809764309765,0.8828914141414141,0.8692899607358855,0.018400749998152242,10
2.8643134593963624,0.25594718574795194,0.25231142044067384,0.019149195631642274,balanced,5,5,200,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8755165289256198,0.8307210031347964,0.8768939393939394,0.8803661616161617,0.88236531986532,0.8691725905871674,0.019379027307029777,11
1.4623316287994386,0.12142065533926905,0.22047710418701172,0.038075592878261996,balanced,5,2,100,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8727272727272727,0.8294670846394984,0.8784722222222222,0.8820496632996634,0.880892255892256,0.8687216997561824,0.019888686030123514,12
1.5036447048187256,0.10109916661934917,0.19720048904418946,0.07459921116797821,balanced,,5,100,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8504132231404959,0.8131661442006269,0.8833122895622896,0.8947811447811449,0.9011994949494948,0.8685744593268104,0.032766747891334,13
1.4342880249023438,0.09241397018780875,0.156257963180542,0.016415955993553808,,10,2,100,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8525826446280993,0.8106583072100314,0.8857323232323232,0.9017255892255892,0.8885732323232322,0.8678544193238549,0.03286568774290515,14
2.8876984119415283,0.19337396778608357,0.25443172454833984,0.012450821082845457,balanced,10,2,200,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8544421487603306,0.8106583072100315,0.8849957912457912,0.8934132996632996,0.8928872053872052,0.8672793504533317,0.03169654269866881,15
2.6395976066589357,0.1167985345275577,0.2657136917114258,0.011099370301131485,,5,5,200,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8815082644628099,0.8294670846394984,0.8693181818181818,0.87131734006734,0.8834175084175084,0.8670056758810677,0.01955892270520773,16
2.6878315925598146,0.17001758118862934,0.24459304809570312,0.026264903163716716,,5,2,200,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8775826446280993,0.8276907001044931,0.8688973063973064,0.8784722222222222,0.8808922558922558,0.8667070258488755,0.019924812091413207,17
1.316693162918091,0.07578211931700836,0.1930629253387451,0.04199286608148566,,5,2,100,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8759297520661158,0.8238244514106584,0.8706860269360268,0.8755260942760943,0.8825757575757575,0.8657084164529305,0.0212810377091641,18
1.5087894916534423,0.09555734401877625,0.16684494018554688,0.013749043583072227,balanced,10,2,100,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8550619834710744,0.8094043887147335,0.8826809764309764,0.8894149831649831,0.8912037037037037,0.8655532070970942,0.030930400561715716,19
